"Country/Region"	"Confirmed"	"Deaths"	"Recovered"	"Active"	"New cases"	"New deaths"	"New recovered"	"Deaths / 100 Cases"	"Recovered / 100 Cases"	"Deaths / 100 Recovered"	"Confirmed last week"	"1 week change"	"1 week % increase"	"Eastern Mediterranean Dummy"	"Europe Dummy"	"Africa Dummy"	"Americas Dummy"	"Western Pacific Dummy"	"South-East Asia Dummy"
"38"	"Senegal"	9764	194	6477	3093	83	3	68	1.99	66.34	"3"	8948	816	9.12	NA	NA	1	NA	NA	NA
"39"	"Seychelles"	114	0	39	75	0	0	0	0	34.21	"0"	108	6	5.56	NA	NA	1	NA	NA	NA
"40"	"Sierra Leone"	1783	66	1317	400	0	0	4	3.7	73.86	"5.01"	1711	72	4.21	NA	NA	1	NA	NA	NA
"41"	"South Africa"	452529	7067	274925	170537	7096	298	9848	1.56	60.75	"2.57"	373628	78901	21.12	NA	NA	1	NA	NA	NA
"42"	"South Sudan"	2305	46	1175	1084	43	1	0	2	50.98	"3.91"	2211	94	4.25	NA	NA	1	NA	NA	NA
"43"	"Tanzania"	509	21	183	305	0	0	0	4.13	35.95	"11.48"	509	0	0	NA	NA	1	NA	NA	NA
"44"	"Togo"	874	18	607	249	6	0	8	2.06	69.45	"2.97"	783	91	11.62	NA	NA	1	NA	NA	NA
"45"	"Uganda"	1128	2	986	140	13	0	4	0.18	87.41	"0.2"	1069	59	5.52	NA	NA	1	NA	NA	NA
"46"	"Western Sahara"	10	1	8	1	0	0	0	10	80	"12.5"	10	0	0	NA	NA	1	NA	NA	NA
"47"	"Zambia"	4552	140	2815	1597	71	1	465	3.08	61.84	"4.97"	3326	1226	36.86	NA	NA	1	NA	NA	NA
"48"	"Zimbabwe"	2704	36	542	2126	192	2	24	1.33	20.04	"6.64"	1713	991	57.85	NA	NA	1	NA	NA	NA
